EntrezGene ID,HGNC symbol
103504739,MIR6724-3
406917,MIR129-1
692148,SCARNA10
50628,GEMIN4
4325,MMP16
100616401,MIR4520-1
406904,MIR1-1
26801,SNORD48
100033430,SNORD116-18
220323,OAF
102466754,MIR6873
23268,DNMBP
100507303,SNHG19
102465133,MIR6125
100500876,MIR3675
100500917,MIR3680-1
100847041,MIR3680-1
100500917,MIR3680-2
100847041,MIR3680-2
63906,GPATCH3
693174,MIR589
692091,SNORD23
81696,OR5V1
102465526,MIR6872
100616128,MIR4679-1
100616192,MIR4679-1
100616128,MIR4679-2
100616192,MIR4679-2
100616206,MIR4652
55622,TTC27
100873768,RNU6-63P
4128,MAOA
7862,BRPF1
100616399,MIR4436A
102465500,MIR6833
102465500,MIR6833
100124534,SNORA84
102464832,MIR6083
100302117,MIR320B1
6066,RNU2-1
102465525,MIR6870
100302268,MIR1285-2
100169751,RNA5S1
100169753,RNA5S1
100169754,RNA5S1
100169755,RNA5S1
100169756,RNA5S1
100169757,RNA5S1
100169758,RNA5S1
100169759,RNA5S1
100169761,RNA5S1
100169762,RNA5S1
100169763,RNA5S1
100169764,RNA5S1
100169765,RNA5S1
100169766,RNA5S1
100169767,RNA5S1
100169768,RNA5S1
100616402,MIR4696
677825,SNORA44
100847088,MIR5586
693155,MIR570
767583,SNORD114-7
407048,MIR92A1
100616321,MIR378G
102465488,MIR6814
100616295,MIR4764
100616314,MIR4750
100302270,MIR1305
100500833,MIR3653
767561,SNORD113-1
100422859,MIR3136
100616367,MIR4467
102465443,MIR6740
100616312,MIR4478
7564,ZNF16
100847048,MIR5690
100313778,MIR759
100,ADA
693192,MIR607
100616174,MIR4643
100126356,MIR365B
100616386,MIR4654
100616453,MIR4687
102465500,MIR6833
100616318,MIR4664
9303,SNORD25
693226,MIR641
677771,SCARNA4
100313843,MIR711
100500843,MIR3922
151176,FAM132B
100616483,MIR4751
26529,OR12D2
100616235,MIR4457
94163,SNORD38B
100033439,SNORD116-27
102466194,MIR6773
100616291,MIR4791
63928,CHP2
23194,FBXL7
100847040,MIR5704
102465535,MIR6888
100616178,MIR4641
767593,SNORD114-15
123036,TC2N
102466734,MIR6783
102467005,MIR8084
11052,CPSF6
80352,RNF39
84628,NTNG2
407051,MIR9-3
102466736,MIR6789
6066,RNU2-1
8174,MADCAM1
25826,SNORD82
100616259,MIR378I
100616420,MIR4744
100422971,MIR4312
677838,SNORA61
100847087,MIR5192
100873757,RNU6-36P
692106,SNORD65
407018,MIR27A
102466737,MIR6793
84671,ZNF347
219473,OR8K3
102466748,MIR6845
102466190,MIR6721
65264,UBE2Z
91947,ARRDC4
102465944,MIR6072
693129,MIR548C
100500856,MIR548C
100302259,MIR1202
100616427,MIR5096
677802,SNORA14B
100169751,RNA5S10
100169753,RNA5S10
100169754,RNA5S10
100169755,RNA5S10
100169756,RNA5S10
100169757,RNA5S10
100169758,RNA5S10
100169759,RNA5S10
100169761,RNA5S10
100169762,RNA5S10
100169763,RNA5S10
100169764,RNA5S10
100169765,RNA5S10
100169766,RNA5S10
100169767,RNA5S10
100169768,RNA5S10
102465453,MIR6756
100616341,MIR4435-1
100616499,MIR4435-1
100616341,MIR4435-2
100616499,MIR4435-2
100302243,MIR1972-1
100422922,MIR1972-1
100302243,MIR1972-2
100422922,MIR1972-2
26784,SNORA64
773,CACNA1A
100507353,CACNA1A
406947,MIR155
102465835,MIR7845
100422998,MIR3199-2
100423034,MIR3199-2
100422998,MIR3199-1
100423034,MIR3199-1
102465461,MIR6770-3
102465908,MIR6770-3
102466259,MIR6770-3
102465461,MIR6770-2
102465908,MIR6770-2
102466259,MIR6770-2
102465461,MIR6770-1
102465908,MIR6770-1
102466259,MIR6770-1
85391,SNORD14E
102467003,MIR7851
974,CD79B
100616116,MIR4648
102466750,MIR6855
102466876,MIR8068
100616374,MIR4539
100616498,MIR378E
102465493,MIR6821
100033417,SNORD116-5
100033419,SNORD116-5
100422983,MIR4314
406969,MIR194-1
100873777,RNU6-1002P
100033426,SNORD116-14
102465450,MIR6752
100113379,SNORD121A
100302141,MIR1913
25804,LSM4
692205,SNORD89
693165,MIR580
100169751,RNA5S2
100169753,RNA5S2
100169754,RNA5S2
100169755,RNA5S2
100169756,RNA5S2
100169757,RNA5S2
100169758,RNA5S2
100169759,RNA5S2
100169761,RNA5S2
100169762,RNA5S2
100169763,RNA5S2
100169764,RNA5S2
100169765,RNA5S2
100169766,RNA5S2
100169767,RNA5S2
100169768,RNA5S2
102466747,MIR6840
100616407,MIR4443
100313829,MIR548O
102465867,MIR8065
6060,RNU1-27P
26863,RNU1-27P
26865,RNU1-27P
26866,RNU1-27P
26869,RNU1-27P
26870,RNU1-27P
26871,RNU1-27P
767582,SNORD114-6
407036,MIR32
100302278,MIR1302-2
100422831,MIR1302-2
100422834,MIR1302-2
100422919,MIR1302-2
100302278,MIR1302-9
100422831,MIR1302-9
100422834,MIR1302-9
100422919,MIR1302-9
100302278,MIR1302-10
100422831,MIR1302-10
100422834,MIR1302-10
100422919,MIR1302-10
100302278,MIR1302-11
100422831,MIR1302-11
100422834,MIR1302-11
100422919,MIR1302-11
677834,SNORA55
100302143,MIR1248
100422857,MIR4318
102466816,MIR7159
169966,FAM46D
100616465,MIR4656
100126338,MIR937
100616123,MIR4436B1
100847033,MIR4436B1
100616123,MIR4436B2
100847033,MIR4436B2
100616171,MIR4752
100033437,SNORD115-2
100422929,MIR4261
101954264,RNVU1-4
101954268,RNVU1-4
101954264,RNVU1-20
101954268,RNVU1-20
554212,MIR448
406893,MIR101-1
100422877,MIR3202-1
100422987,MIR3202-1
100422877,MIR3202-2
100422987,MIR3202-2
79102,RNF26
100616451,MIR4471
55911,APOBR
100616226,MIR4468
100616138,MIR4787
102465455,MIR6760
102466754,MIR6873
406974,MIR197
3565,IL4
102465137,MIR6129
122183,PRR20E
729233,PRR20E
729240,PRR20E
729246,PRR20E
729250,PRR20E
100616237,MIR4640
100873755,RNU6-23P
100616481,MIR4423
102466953,MIR6082
79154,
100302203,MIR1271
102466745,MIR6832
8846,ALKBH1
100616140,MIR4506
100126331,MIR942
11145,PLA2G16
100500821,MIR3910-1
102465500,MIR6833
9897,KIAA0196
100616310,MIR4650-2
100616331,MIR4650-2
692076,SNORD7
29843,SENP1
693149,MIR564
574482,MIR520D
102465445,MIR6743
101929983,
9883,POM121
574480,MIR519D
100616218,MIR3135B
5985,RFC5
677815,SNORA34
100302181,MIR1294
100422938,MIR3142
6060,RNU1-2
26863,RNU1-2
26865,RNU1-2
26866,RNU1-2
26869,RNU1-2
26870,RNU1-2
26871,RNU1-2
100302134,MIR1289-2
51206,GP6
100616288,MIR4665
100500813,MIR3646
100500910,MIR3670-1
100846994,MIR3670-1
103504726,MIR3670-1
103504740,MIR3670-1
100500910,MIR3670-2
100846994,MIR3670-2
103504726,MIR3670-2
103504740,MIR3670-2
100500910,MIR3670-4
100846994,MIR3670-4
103504726,MIR3670-4
103504740,MIR3670-4
100500910,MIR3670-3
100846994,MIR3670-3
103504726,MIR3670-3
103504740,MIR3670-3
100302225,MIR2053
677803,SNORA15
102466204,MIR6880
26827,RNU6-1
101954271,RNU6-1
103625684,RNU6-1
26827,RNU6-6P
101954271,RNU6-6P
103625684,RNU6-6P
26827,RNU6-9
101954271,RNU6-9
103625684,RNU6-9
100132979,GOLGA8EP
100126340,MIR944
574473,MIR520B
693195,MIR610
102465532,MIR6883
100616482,MIR4685
399968,PATE4
100313772,MIR548M
406996,MIR214
102466190,MIR6721
102466190,MIR6721
100873740,RNU6-31P
8487,GEMIN2
767589,SNORD114-11
654320,SNORA8
767581,SNORD114-5
100313824,MIR663B
677812,SNORA29
100506446,
100873770,RNU6-66P
89801,PPP1R3F
100616271,MIR4637
100616157,MIR4772
442899,MIR325
407007,MIR222
677775,SCARNA5
7726,TRIM26
6015,RING1
100616356,MIR4774
100126324,MIR934
7767,ZNF224
100847026,MIR5006
574517,MIR514A3
574518,MIR514A3
79166,LILRP2
100422982,MIR4286
100379132,SNORA70G
100500817,MIR3612
100616389,MIR4463
102465499,MIR6831
102466758,MIR6889
101927551,
27294,DHDH
574030,MIR362
100500803,MIR3919
100124541,SNORA11E
101340250,SNORA11E
100033814,SNORD115-40
26801,SNORD48
100033811,SNORD115-37
767610,SNORD114-29
124857,WFIKKN2
100616153,MIR4726
102466745,MIR6832
100847080,MIR5190
10114,HIPK3
89927,C16orf45
102464826,MIR6073
102466656,MIR6500
574466,MIR519C
100422892,MIR3157
100422849,MIR548T
767608,SNORD114-27
100616189,MIR4421
102466190,MIR6721
693120,MIR33B
